Type,id,co2_sink,transforms--emission_rate,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--fuel_demand_edge--commodity,edges--fuel_demand_edge--unidirectional,edges--fuel_demand_edge--has_capacity,edges--fuel_demand_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex
FuelsEndUse,BR_Ammonia_Use,co2_sink,0,Ammonia,TRUE,FALSE,nh3_BR,Ammonia,TRUE,FALSE,nh3_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_GreenDiesel_Use,co2_sink,0.25,GreenDiesel,TRUE,FALSE,greendiesel_BR,GreenDiesel,TRUE,FALSE,greendiesel_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_Gasoline_Use,co2_sink,0.24,Gasoline,TRUE,FALSE,gasoline_BR,Gasoline,TRUE,FALSE,gasoline_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_EthanolEndUse,co2_sink,0.232,Ethanol,TRUE,FALSE,ethanol_BR,Ethanol,TRUE,FALSE,ethanol_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_BioDiesel_Use,co2_sink,0.253,BioDiesel,TRUE,FALSE,biodiesel_BR,BioDiesel,TRUE,FALSE,biodiesel_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_JetFuel_Use,co2_sink,0.258,JetFuel,TRUE,FALSE,jetfuel_BR,JetFuel,TRUE,FALSE,jetfuel_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,Residue_not_used_N,co2_sink,1.558,Residue,TRUE,FALSE,residue_N,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,Residue_not_used_NE,co2_sink,1.558,Residue,TRUE,FALSE,residue_NE,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,Residue_not_used_MW,co2_sink,1.558,Residue,TRUE,FALSE,residue_MW,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,Residue_not_used_SE,co2_sink,1.558,Residue,TRUE,FALSE,residue_SE,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,Residue_not_used_S,co2_sink,1.558,Residue,TRUE,FALSE,residue_S,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_sink
